"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
17890188393391391,17841406860905948,init.fiu,"INIT FIU","Ever thought about leading your own team? 👥

This is your chance to not only lead but gain real world experience that you can share on your resume.

Add this to your new year’s resolution by registering today💫

#floridainternationaluniversity #weareinit #newyearsresolution #resume",0,"12/12/2025 10:30",https://www.instagram.com/p/DSLGyP4kaIy/,"IG carousel",,Lifetime,4140,1249,64,20,0,1,1
17847031668616708,17841406860905948,init.fiu,"INIT FIU","Your yearly wrap is here! INIT Edition 💛

It has been our pleasure hosting you this year and we hope to continue to be part of your personal and professional development. To a new year of continued growth with INIT by your side!

#init #floridainternationaluniversity #wrap #y#spotifywrapped",0,"12/08/2025 14:28",https://www.instagram.com/p/DSBO3Slj5qq/,"IG carousel",,Lifetime,4549,1258,75,1,0,0,1
18079617869137349,17841406860905948,init.fiu,"INIT FIU","Demo Day was last Friday and our teams showed off some seriously impressive projects! 🤩

Which one was your favorite?

#weareinit #computerscience #cybersecurity #womenintech #artificialintelligence #floridainternationaluniversity",149,"12/08/2025 11:00",https://www.instagram.com/reel/DSA2_PdkX4T/,"IG reel",,Lifetime,6949,4275,171,36,1,12,12
18341805817229353,17841406860905948,init.fiu,"INIT FIU","It’s time — Demo Day is here! 🚀
Join us as we wrap up the semester with good vibes, great people, and the incredible projects our teams have been building all season.

Come celebrate, get inspired, and see what INIT students have created!
📅 Friday, December 5
🕔 5–7 PM
📍 PG6 116

Let’s finish the year strong — see you there! 🔥

#init #fiu #demoday #projects #computing #innovation",0,"12/02/2025 11:30",https://www.instagram.com/p/DRxdrblD9Ir/,"IG carousel",,Lifetime,5006,1637,86,9,0,0,2
18543447277061313,17841406860905948,init.fiu,"INIT FIU","If you need a push to study for finals this is it, come get work done with us! 📚

#floridainternationaluniversity #finalsweek #initfiu #study #computerscience",0,"12/01/2025 12:24",https://www.instagram.com/p/DRu_FUfj68f/,"IG carousel",,Lifetime,3404,876,34,1,0,0,0
18070886609060866,17841406860905948,init.fiu,"INIT FIU","We heard some of you are still interested…

We decided to open e-board roles again and decided to expand our team to fit everyone’s interest!

Apply now as we will be checking applications on a daily basis 🤭

#floridainternationaluniversity #init #computersciencestudent  #team",0,"11/26/2025 17:46",https://www.instagram.com/p/DRir-_dDKws/,"IG carousel",,Lifetime,6354,1768,92,14,0,0,11
18093593344884320,17841406860905948,init.fiu,"INIT FIU","Dump your situationship and sign up for FlagOps! 🚩

📆 Apply by TONIGHT!
📍VH 131
🔗 go.fiu.edu/flagops

#weareinit #technology #capturetheflag",46,"11/19/2025 10:14",https://www.instagram.com/reel/DRP2SHjD2xL/,"IG reel",,Lifetime,3713,1980,72,13,1,5,1
18071746190348781,17841406860905948,init.fiu,"INIT FIU","CE problems require CE solutions. 

#weareinit #computerscience #technology",9,"11/17/2025 11:00",https://www.instagram.com/reel/DRKyS-kCT7m/,"IG reel",,Lifetime,6985,3555,232,35,0,0,12
17990076221897659,17841406860905948,init.fiu,"INIT FIU","Come explore advanced Arduino concepts with us and dive deeper into IoT, sensors, and more!

📅 Wednesday, November 19 | 3:30–5:30 PM
📍 VH 131

#init #fiu #technology #computerscience #arduino #hardwareengineering",0,"11/17/2025 08:58",https://www.instagram.com/p/DRKkWy1juYw/,"IG carousel",,Lifetime,3717,890,23,3,0,0,0
18210983545313014,17841406860905948,init.fiu,"INIT FIU","Build an AI that detects emotions and objects in real time and walk out with a project you can show off 🔥

#init #floridainternationaluniversity #artificialintelligence #technology",0,"11/16/2025 16:14",https://www.instagram.com/p/DRIxc7kD_Xh/,"IG carousel",,Lifetime,3642,804,33,14,0,0,4
17986919537858123,17841406860905948,init.fiu,"INIT FIU","FlagOps is back and the mission is live! Build your squad (up to 4) and get ready to take on the ultimate cybersecurity challenge! 

🗓️ Apply by Nov 17
📍 PG6 116
🔗 go.fiu.edu/flagops

Are you in? 👀",10,"11/15/2025 12:05",https://www.instagram.com/reel/DRFwLGtj5Ls/,"IG reel",,Lifetime,4584,2535,81,8,0,2,7
17899982778323694,17841406860905948,init.fiu,"INIT FIU","FLAGOPS is back. 🏁
Form your squad. Train up. Get ready.
Your mission starts here.

🗓️ Nov 17 | 3:30–5:30 PM
📍 PG6 116
🔗 go.fiu.edu/init

#init #fiu #ctf #cybersecurity #flagops",0,"11/11/2025 12:00",https://www.instagram.com/p/DQ7cYsvj3Kf/,"IG image",,Lifetime,2726,658,13,5,0,1,0
17893834950354283,17841406860905948,init.fiu,"INIT FIU","The Capture the Flag showdown is officially back — and this year?
New challenges. New puzzles. New prizes.
Same adrenaline. Same mind games. Same heat. 🔥

Build your team. Study up. Or don’t.
Just be ready.

🗓️ Friday, Nov 21
📍 PG6 116
👥 Teams up to 4

#init #fiu #ctf #cybersecurity #computerscience #capturetheflag",15,"11/10/2025 11:52",https://www.instagram.com/reel/DQ42dYVj6Sj/,"IG reel",,Lifetime,3186,1675,79,3,1,3,2
18071343305345468,17841406860905948,init.fiu,"INIT FIU","Come learn how to design and animate your own third-person player controller — and keep leveling up your game dev skills with us.

📅 Wednesday, November 12 | 4:30–6:30 PM
📍 VH 131

#init #fiu #gamedev #unity #csharp #computerscience #technology",0,"11/09/2025 09:30",https://www.instagram.com/p/DQ2Bm4ujqxF/,"IG carousel",,Lifetime,3286,753,21,12,0,0,3
17850661965543912,17841406860905948,init.fiu,"INIT FIU","Come learn how to connect your project to real data and bring your app to life!

📅 Thursday, November 13 | 4–6 PM
📍 PG5 155

#init #fiu #computerscience #technology #webdev #databases #apis",0,"11/08/2025 10:30",https://www.instagram.com/p/DQzjvW2j3Jg/,"IG carousel",,Lifetime,3211,710,22,3,0,0,3
18062260427154580,17841406860905948,init.fiu,"INIT FIU","Come learn Linux basics and get your virtual machine up and running! Perfect for anyone building their CS foundation.

📅 Monday, November 10 | 3:30–5:30 PM
📍 PG6 116

#init #fiu #computerscience #technology #linux #virtualmachines",0,"11/05/2025 09:00",https://www.instagram.com/p/DQrrFELDm01/,"IG carousel",,Lifetime,2949,592,19,0,0,0,1
18086592820768182,17841406860905948,init.fiu,"INIT FIU","Collaborate with your team, make progress on your projects, and get ahead before finals! Come code, create, and build with us.

📅 Thursday, November 6 | 3–7 PM
📍 PG5 155 | Open to everyone

#init #fiu #technology #computerscience #hackathon #innovation #studentprojects",0,"11/04/2025 09:35",https://www.instagram.com/p/DQpKNVuCbjw/,"IG carousel",,Lifetime,3771,870,33,15,0,1,1
18110472994514764,17841406860905948,init.fiu,"INIT FIU","💙 Huge thank you to the Google Cloud team for joining us at ShellHacks 2025 and powering this year’s ADK + A2A Challenge!

Hackers spent the weekend building incredible projects with Gemini and ADK, pushing the limits of what agentic AI can do. 🚀

🏆 Winning Projects:
🔹 Beacon – a safety app for pedestrians that helps users stay connected and protected on the go.
🔹 iMPOSTURE – an AI-powered posture coach that encourages better habits for focus and wellness.
🔹 A11Y Tools – a Chrome extension that makes web browsing more accessible for everyone.

Massive thanks to the Google mentors and engineers who guided hackers throughout the weekend — we couldn’t have done it without you! 💫

💻 Interested in building with Google Cloud ADK / A2A?
👉 Learn more at goo.gle/adk￼

@googlecloud #ShellHacks #INITatFIU #GoogleADK #GeminiAI #A2A #Hackathon #Innovation #AIforGood",0,"10/31/2025 07:50",https://www.instagram.com/p/DQekPDijuXv/,"IG carousel",,Lifetime,5468,1294,105,2,0,0,4
18071675897249410,17841406860905948,init.fiu,"INIT FIU","Learn how agentic AI and RAG work, and start building your own AI agents with us.

📅 Tuesday, November 4 | 2:30–4:30 PM
📍 AHC5 201 | Open to everyone

#init #fiu #technology #computerscience #ai #machinelearning",0,"10/30/2025 12:00",https://www.instagram.com/p/DQccCVejjxW/,"IG carousel",,Lifetime,3283,760,30,5,0,0,2
18084645541823994,17841406860905948,init.fiu,"INIT FIU","⚙️ Team SLiM took on a big challenge — making AI faster and more efficient.

Instead of running the same heavy tasks over and over, their project teaches smaller models to handle repeat questions while the bigger ones focus on the tough stuff. The result? Smarter performance, less waiting, and way lower costs 💡

Built at ShellHacks 2025 with Google Cloud’s ADK + Gemini, SLiM keeps improving every time you use it — proving that good tech doesn’t have to be complicated to be clever.

@GoogleCloud #ShellHacks #INITatFIU #SLiM #GoogleADK #GeminiAI #A2A #Innovation #SmartTech #AIforGood",82,"10/29/2025 12:00",https://www.instagram.com/reel/DQZ3KfPjjM0/,"IG reel",,Lifetime,3380,2036,59,6,0,3,6
18483852838072041,17841406860905948,init.fiu,"INIT FIU","Come learn the basics of computer networks and get hands-on experience analyzing traffic with Wireshark!

📅 Monday, November 3 | 3:30–5:30 PM
📍 PG6 116 | Open to everyone

#init #fiu #technology #computerscience #networking #wireshark",0,"10/29/2025 09:00",https://www.instagram.com/p/DQZikq8jrhj/,"IG carousel",,Lifetime,3188,721,23,10,0,0,1
17945240331059406,17841406860905948,init.fiu,"INIT FIU","Wear your best costume and come hang out with us for tricks, treats, and spooky fun!

📅 Thursday, Oct 30 | 2:30–3:30 PM
📍 AHC5 201 | Open to everyone

#init #fiu #halloween #techcommunity 🕸️✨",0,"10/25/2025 12:40",https://www.instagram.com/p/DQPonJjj7zQ/,"IG carousel",,Lifetime,4996,1260,66,8,0,0,1
18099865552709502,17841406860905948,init.fiu,"INIT FIU","Come power up your project and unlock even more gameplay features! Keep building, keep creating, and make your Mario world even more fun.

📅 Wednesday, October 29 | 4:30–6:30 PM
📍 VH 131 | Open to everyone

Register now → go.fiu.edu/init
Become a member → weareinit.org

#init #fiu #gamedev #unity #csharp #computerscience #techcommunity",0,"10/24/2025 12:00",https://www.instagram.com/p/DQM_SsAjnGh/,"IG carousel",,Lifetime,3435,781,29,1,0,0,0
17953494636013352,17841406860905948,init.fiu,"INIT FIU","Come learn JavaScript and keep building your web development skills with us!

📅 Thursday, October 30 | 4–6 PM
📍 PG5 155 | Open to everyone

Register now → go.fiu.edu/init
Become a member → weareinit.org

#init #technology #computerscience #fiu #javascript #webdev",0,"10/23/2025 12:00",https://www.instagram.com/p/DQKaaijD0T1/,"IG carousel",,Lifetime,3537,773,35,0,0,0,3
18545996464020418,17841406860905948,init.fiu,"INIT FIU","Practice solving real interview-style data structure problems and get one step closer to landing that tech internship or full-time role. Let’s level up together!

📅 Wednesday, October 29 | 1:30–3 PM
📍 CASE 132 | Open to everyone

Register now → go.fiu.edu/init
Become a member → weareinit.org

#init #fiu #technology #careerprep #datastructures #techinterviews",0,"10/23/2025 10:30",https://www.instagram.com/p/DQKQIXwjp0P/,"IG carousel",,Lifetime,3076,687,27,4,0,0,4
